,War,Start Date,End Date,Participant,Location,Casualties,Cause,Effect,Normalized Participant
4491,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Balkans,Russia
4510,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,German Democratic Republic,Russia
4511,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,German Democratic Republic,Russia
4515,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Lebensraum,German Democratic Republic,Russia
4516,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Lebensraum,German Democratic Republic,Russia
4519,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,Operation Barbarossa,German Democratic Republic,Russia
4520,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,Operation Barbarossa,German Democratic Republic,Russia
4535,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,German Democratic Republic,Russia
4536,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,German Democratic Republic,Russia
4558,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,German Democratic Republic,Russia
4559,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,German Democratic Republic,Russia
4574,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,Operation Barbarossa,Czechoslovakia,Russia
4575,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,Operation Barbarossa,Czechoslovakia,Russia
4590,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Czechoslovakia,Russia
4591,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Czechoslovakia,Russia
4612,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,Czechoslovakia,Russia
4613,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,Czechoslovakia,Russia
4626,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Lebensraum,Central Europe,Russia
4641,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Lebensraum,Central Europe,Russia
4642,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Lebensraum,Central Europe,Russia
4649,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Lebensraum,Central Europe,Russia
4665,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,Central Europe,Russia
4677,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,Central Europe,Russia
4679,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Lebensraum,Czechoslovakia,Russia
4692,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,Operation Barbarossa,Iron Curtain,Russia
4693,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,Operation Barbarossa,Iron Curtain,Russia
4707,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,Iron Curtain,Russia
4712,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Iron Curtain,Russia
4713,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Iron Curtain,Russia
4730,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,Iron Curtain,Russia
4743,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Lebensraum,Czechoslovakia,Russia
4744,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Lebensraum,Czechoslovakia,Russia
4762,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Iron Curtain,Russia
4763,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Iron Curtain,Russia
4773,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Lebensraum,Czechoslovakia,Russia
4782,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,Czechoslovakia,Russia
4783,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,Czechoslovakia,Russia
4790,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Central Europe,Russia
4791,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Central Europe,Russia
4810,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,Eastern Europe,Russia
4811,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,Eastern Europe,Russia
4828,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,Operation Barbarossa,Central Europe,Russia
4829,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,Operation Barbarossa,Central Europe,Russia
4847,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Central Europe,Russia
4848,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Central Europe,Russia
4863,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,racism,Central Europe,Russia
4864,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,racism,Central Europe,Russia
4868,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Lebensraum,Eastern Europe,Russia
4869,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Lebensraum,Eastern Europe,Russia
4880,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Lebensraum,Eastern Europe,Russia
4881,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Lebensraum,Eastern Europe,Russia
4898,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,Central Europe,Russia
4912,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Czechoslovakia,Russia
4913,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Czechoslovakia,Russia
4924,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Czechoslovakia,Russia
4928,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,racism,Iron Curtain,Russia
4929,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,racism,Iron Curtain,Russia
4949,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Czechoslovakia,Russia
4975,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,Central Europe,Russia
4978,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Central Europe,Russia
4979,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Central Europe,Russia
4982,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,racism,Czechoslovakia,Russia
4983,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,racism,Czechoslovakia,Russia
5020,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Nazi Germany,German Democratic Republic,Russia
5021,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Nazi Germany,German Democratic Republic,Russia
5028,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,Balkans,Russia
5029,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,Balkans,Russia
5033,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Nazi Germany,German Democratic Republic,Russia
5040,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Nazi Germany,German Democratic Republic,Russia
5041,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Nazi Germany,German Democratic Republic,Russia
5044,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Nazi Germany,German Democratic Republic,Russia
5060,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Operation Barbarossa,Balkans,Russia
5061,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Operation Barbarossa,Balkans,Russia
5076,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,racism,Balkans,Russia
5077,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,racism,Balkans,Russia
5097,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Operation Barbarossa,Balkans,Russia
5108,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Operation Barbarossa,Balkans,Russia
5117,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,Hungarian People's Republic,Russia
5118,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,Hungarian People's Republic,Russia
5133,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,racism,Hungarian People's Republic,Russia
5135,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,racism,Hungarian People's Republic,Russia
5138,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,racism,Hungarian People's Republic,Russia
5153,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,racism,Hungarian People's Republic,Russia
5154,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,racism,Hungarian People's Republic,Russia
5164,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,Nazi Germany,German Democratic Republic,Russia
5165,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,Nazi Germany,German Democratic Republic,Russia
5180,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Nazi Germany,German Democratic Republic,Russia
5181,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Nazi Germany,German Democratic Republic,Russia
5201,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,racism,German Democratic Republic,Russia
5202,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,racism,German Democratic Republic,Russia
5214,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,racism,Hungarian People's Republic,Russia
5224,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,racism,Soviet Union,Russia
5225,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,racism,Soviet Union,Russia
5244,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,racism,Soviet Union,Russia
5245,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,racism,Soviet Union,Russia
5260,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,Soviet Union,Russia
5261,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,Soviet Union,Russia
5267,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,racism,Hungarian People's Republic,Russia
5272,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Nazi Germany,Hungarian People's Republic,Russia
5273,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Nazi Germany,Hungarian People's Republic,Russia
5288,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Nazi Germany,Hungarian People's Republic,Russia
5289,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Nazi Germany,Hungarian People's Republic,Russia
5292,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,racism,Hungarian People's Republic,Russia
5308,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,Nazi Germany,Hungarian People's Republic,Russia
5309,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,Nazi Germany,Hungarian People's Republic,Russia
5333,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,racism,Balkans,Russia
5334,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,racism,Balkans,Russia
5337,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,Soviet Union,Russia
5338,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,Soviet Union,Russia
5346,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,Balkans,Russia
5353,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,racism,Balkans,Russia
5354,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,racism,Balkans,Russia
5357,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,Balkans,Russia
5385,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,racism,Soviet Union,Russia
5395,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,racism,Soviet Union,Russia
5398,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Operation Barbarossa,Soviet Union,Russia
5405,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Operation Barbarossa,Soviet Union,Russia
5406,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Operation Barbarossa,Soviet Union,Russia
5421,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Operation Barbarossa,Soviet Union,Russia
5436,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Nazi Germany,Eastern Europe,Russia
5440,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Nazi Germany,Eastern Europe,Russia
5441,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Nazi Germany,Eastern Europe,Russia
5450,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Nazi Germany,Eastern Europe,Russia
5460,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Nazi Germany,Eastern Europe,Russia
5461,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Nazi Germany,Eastern Europe,Russia
5508,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Nazi Germany,Eastern Europe,Russia
5509,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Nazi Germany,Eastern Europe,Russia
5584,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,racism,Eastern Europe,Russia
5585,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,racism,Eastern Europe,Russia
5600,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,Nazi Germany,Eastern Europe,Russia
5601,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,Nazi Germany,Eastern Europe,Russia
5696,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Operation Barbarossa,Hungarian People's Republic,Russia
5698,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Operation Barbarossa,Hungarian People's Republic,Russia
5716,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,Hungarian People's Republic,Russia
5717,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,Hungarian People's Republic,Russia
5732,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Operation Barbarossa,Hungarian People's Republic,Russia
5733,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Operation Barbarossa,Hungarian People's Republic,Russia
5844,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Operation Barbarossa,Eastern Europe,Russia
5854,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Operation Barbarossa,Eastern Europe,Russia
5859,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Operation Barbarossa,Eastern Europe,Russia
5860,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Operation Barbarossa,Eastern Europe,Russia
5879,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,Eastern Europe,Russia
5881,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,Eastern Europe,Russia
5908,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,Eastern Europe,Russia
5918,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,Eastern Europe,Russia
5921,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,racism,Eastern Europe,Russia
5927,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,racism,Eastern Europe,Russia
5928,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,racism,Eastern Europe,Russia
5943,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,racism,Eastern Europe,Russia
5985,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,racism,Central Europe,Russia
5996,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,racism,Central Europe,Russia
6055,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,Nazi Germany,Cold War,Russia
6056,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,Nazi Germany,Cold War,Russia
6071,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Nazi Germany,Cold War,Russia
6072,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Nazi Germany,Cold War,Russia
6091,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,racism,Cold War,Russia
6092,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,racism,Cold War,Russia
6115,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Nazi Germany,Cold War,Russia
6119,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Nazi Germany,Cold War,Russia
6120,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Nazi Germany,Cold War,Russia
6129,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Nazi Germany,Cold War,Russia
6139,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Nazi Germany,Cold War,Russia
6140,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Nazi Germany,Cold War,Russia
6155,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,racism,German Democratic Republic,Russia
6156,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,racism,German Democratic Republic,Russia
6169,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Operation Barbarossa,German Democratic Republic,Russia
6179,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Operation Barbarossa,German Democratic Republic,Russia
6182,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Operation Barbarossa,German Democratic Republic,Russia
6184,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,racism,Eastern Europe,Russia
6185,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,racism,Eastern Europe,Russia
6188,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,German Democratic Republic,Russia
6189,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,German Democratic Republic,Russia
6204,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Operation Barbarossa,German Democratic Republic,Russia
6215,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,German Democratic Republic,Russia
6216,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,German Democratic Republic,Russia
6236,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,racism,German Democratic Republic,Russia
6237,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,racism,German Democratic Republic,Russia
6252,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,racism,German Democratic Republic,Russia
6253,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,racism,German Democratic Republic,Russia
6264,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,Cold War,Russia
