War,Start Date,End Date,Participant,Location,Casualties,Cause,Effect
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Northern Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Northern Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Nazi Germany,Northern Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Northern Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Finland,Northern Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Finland,Northern Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Central Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Yugoslav Partisans,Central Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Yugoslav Partisans,Central Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Central Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Balkans,,Lebensraum,Iron Curtain
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Finland,Balkans,,Lebensraum,Iron Curtain
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Finland,Balkans,,Lebensraum,Iron Curtain
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Hungary,Balkans,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Hungary,Balkans,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Allies of World War II,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Kingdom of Romania,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Yugoslav Partisans,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Yugoslav Partisans,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Nazi Germany,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Finland,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Finland,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Hungary,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Hungary,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Allies of World War II,Central Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Central Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Kingdom of Romania,Central Europe,,Operation Barbarossa,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Soviet Union,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Hungary,Central Europe,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Northern Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Yugoslav Partisans,Northern Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Northern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Nazi Germany,Northern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Northern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Finland,Northern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Finland,Northern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Hungary,Northern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Hungary,Northern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Allies of World War II,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Kingdom of Romania,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Yugoslav Partisans,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Yugoslav Partisans,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Nazi Germany,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Finland,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Finland,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Northern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Hungary,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Yugoslav Partisans,Northern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Northern Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Allies of World War II,Northern Europe,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Northern Europe,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Kingdom of Romania,Northern Europe,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Northern Europe,,Lebensraum,Soviet Union
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Allies of World War II,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Kingdom of Romania,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Yugoslav Partisans,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Yugoslav Partisans,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Nazi Germany,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Finland,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Finland,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Hungary,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Hungary,Central Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Allies of World War II,Northern Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Northern Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Kingdom of Romania,Northern Europe,,Lebensraum,Cold War
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Yugoslav Partisans,Northern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Hungary,Eastern Europe,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Allies of World War II,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Hungary,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Hungary,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Allies of World War II,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Kingdom of Romania,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Yugoslav Partisans,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Yugoslav Partisans,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Nazi Germany,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Finland,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Finland,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Hungary,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Hungary,Central Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Allies of World War II,Northern Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Northern Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Kingdom of Romania,Northern Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Northern Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Yugoslav Partisans,Northern Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Finland,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Finland,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Nazi Germany,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Kingdom of Romania,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Yugoslav Partisans,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Yugoslav Partisans,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Nazi Germany,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Finland,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Northern Europe,,Operation Barbarossa,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Finland,Balkans,,Lebensraum,Socialist Republic of Romania
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Hungary,Balkans,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Allies of World War II,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Kingdom of Romania,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Yugoslav Partisans,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Yugoslav Partisans,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Hungary,Balkans,,Lebensraum,Polish People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Eastern Europe,,Operation Barbarossa,Hungarian People's Republic
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Europe,,Operation Barbarossa,Iron Curtain
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Europe,,Operation Barbarossa,Iron Curtain
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Northern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Northern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Nazi Germany,Northern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Northern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Finland,Northern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Finland,Northern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Hungary,Northern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Hungary,Northern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Allies of World War II,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Kingdom of Romania,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Yugoslav Partisans,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Yugoslav Partisans,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Nazi Germany,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Finland,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Yugoslav Partisans,Northern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Finland,Eastern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Yugoslav Partisans,Northern Europe,,Lebensraum,Balkans
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Eastern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Hungary,Central Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Allies of World War II,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Allies of World War II,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Kingdom of Romania,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Kingdom of Romania,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Yugoslav Partisans,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Yugoslav Partisans,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Slovak Republic,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Slovak Republic,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Nazi Germany,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Finland,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Finland,Northern Europe,,Operation Barbarossa,Eastern Europe
Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Hungary,Northern Europe,,Operation Barbarossa,Eastern Europe
